Beverage_category,Beverage,Size,Calories,Total Fat (g),Trans Fat (g),Saturated Fat (g),Sodium (mg),Total Carbohydrates (g),Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Caffeine (mg)
Coffee,Brewed Coffee,Short,3,0.1,0,0,0,5,0,0,0,0.3,0%,0%,0%,0%,175
Coffee,Brewed Coffee,Tall,4,0.1,0,0,0,10,0,0,0,0.5,0%,0%,0%,0%,260
Coffee,Brewed Coffee,Grande,5,0.1,0,0,0,10,0,0,0,1,0%,0%,0%,0%,330
Coffee,Brewed Coffee,Venti,5,0.1,0,0,0,10,0,0,0,1,0%,0%,2%,0%,410
Classic Espresso Drinks,Caffè Latte,Short,100,3.5,2,0.1,15,85,10,0,9,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Caffè Latte,Tall,150,6,3,0.2,25,135,15,0,14,10,15%,0%,30%,0%,75
Classic Espresso Drinks,Caffè Latte,Grande,190,7,3.5,0.2,30,170,19,0,17,12,20%,2%,40%,0%,150
Classic Espresso Drinks,Caffè Latte,Venti,240,9,4.5,0.3,35,220,24,0,22,16,25%,2%,50%,0%,150
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Short,130,4,2,0.1,10,70,21,1,17,6,8%,0%,15%,10%,85
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Tall,200,6,3.5,0.1,20,115,32,1,26,10,15%,0%,25%,20%,95
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Grande,260,8,4.5,0.2,25,140,42,2,34,13,15%,2%,35%,25%,175
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Venti,340,11,6,0.2,30,180,53,2,43,17,20%,2%,45%,30%,180
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Short,130,3.5,1.5,0.1,15,80,18,0,17,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Tall,200,5,2.5,0.2,20,125,28,0,27,9,15%,0%,30%,0%,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Grande,250,6,3.5,0.2,25,150,37,0,35,12,20%,2%,35%,0%,150
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Venti,320,9,4.5,0.3,35,200,46,0,44,15,25%,2%,45%,0%,150
Classic Espresso Drinks,Caffè Americano,Short,5,0,0,0,0,5,1,0,0,0.4,0%,0%,0%,0%,75
Classic Espresso Drinks,Caffè Americano,Tall,10,0,0,0,0,10,2,0,0,1,0%,0%,2%,0%,150
Classic Espresso Drinks,Caffè Americano,Grande,15,0,0,0,0,15,3,0,0,1,0%,0%,2%,0%,225
Classic Espresso Drinks,Caffè Americano,Venti,25,0,0,0,0,15,4,0,0,1,0%,0%,2%,0%,300
Classic Espresso Drinks,Cappuccino,Short,80,3,1.5,0.1,10,70,8,0,7,5,8%,0%,15%,0%,75
Classic Espresso Drinks,Cappuccino,Tall,90,3.5,1.5,0.1,15,80,9,0,8,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Cappuccino,Grande,120,4,2,0.1,15,100,12,0,10,8,10%,0%,25%,0%,150
Classic Espresso Drinks,Cappuccino,Venti,150,6,3,0.2,25,135,16,0,14,10,15%,0%,30%,0%,150
Classic Espresso Drinks,Espresso,Solo,5,0,0,0,0,0,1,0,0,0.4,0%,0%,0%,0%,75
Classic Espresso Drinks,Espresso,Doppio,10,0,0,0,0,1,2,0,0,1,0%,0%,0%,0%,150
Signature Espresso Drinks,Caramel Macchiato,Short,120,4,2,0.1,15,80,16,0,15,5,10%,0%,15%,0%,75
Signature Espresso Drinks,Caramel Macchiato,Tall,180,5,3,0.1,20,115,25,0,23,8,15%,0%,25%,0%,75
Signature Espresso Drinks,Caramel Macchiato,Grande,240,7,3.5,0.2,25,150,34,0,32,10,15%,2%,30%,0%,150
Signature Espresso Drinks,Caramel Macchiato,Venti,300,8,4.5,0.2,35,180,43,0,40,13,20%,2%,40%,0%,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Short,200,6,3.5,0.1,15,125,31,0,29,7,8%,2%,25%,0%,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Tall,310,9,6,0.1,20,200,46,0,44,11,15%,2%,35%,0%,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Grande,400,11,7,0.2,25,250,61,0,58,15,15%,2%,45%,0%,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Venti,510,15,9,0.2,35,330,77,0,74,19,20%,4%,60%,2%,150
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Short,150,4.5,2.5,0.1,15,80,26,1,22,7,10%,0%,20%,10%,10
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Tall,230,7,3.5,0.2,20,120,37,1,32,10,15%,0%,30%,20%,20
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Grande,290,9,5,0.2,25,160,47,2,41,14,20%,2%,40%,25%,25
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Venti,380,11,6,0.3,35,200,63,2,54,17,25%,2%,50%,30%,30
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Short,140,0,0,0,0,10,35,0,33,0,0%,0%,0%,0%,0
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Tall,210,0,0,0,0,15,53,0,49,0,0%,0%,0%,0%,0
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Grande,280,0,0,0,0,20,70,0,65,0,0%,0%,0%,0%,0
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Venti,360,0,0,0,0,25,89,0,83,0,0%,0%,0%,0%,0
Tazo® Tea Drinks,Tazo® Tea,Short,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,Varies
Tazo® Tea Drinks,Tazo® Tea,Tall,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,Varies
Tazo® Tea Drinks,Tazo® Tea,Grande,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,Varies
Tazo® Tea Drinks,Tazo® Tea,Venti,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,Varies
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Short,120,2,1,0.1,10,55,22,0,21,4,6%,0%,10%,0%,50
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tall,190,3.5,1.5,0.1,15,90,34,0,32,6,10%,0%,20%,2%,70
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Grande,240,4.5,2,0.1,20,115,45,0,42,8,10%,0%,25%,2%,95
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Venti,310,6,3,0.2,25,150,56,0,53,10,15%,2%,30%,2%,120
Tazo® Tea Drinks,Tazo® Green Tea Latte,Short,170,4,2,0.1,15,95,26,0,25,7,10%,6%,20%,2%,25
Tazo® Tea Drinks,Tazo® Green Tea Latte,Tall,260,6,3,0.2,25,140,41,1,40,10,15%,10%,35%,4%,55
Tazo® Tea Drinks,Tazo® Green Tea Latte,Grande,350,8,4,0.2,30,180,57,1,55,14,20%,15%,45%,4%,80
Tazo® Tea Drinks,Tazo® Green Tea Latte,Venti,450,10,5,0.3,40,230,72,2,71,17,25%,20%,50%,6%,110
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Short,90,2,1,0.1,10,50,15,0,15,3,6%,0%,10%,0.00%,varies
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Tall,140,3,1.5,0.1,15,75,23,0,23,5,8%,0%,15%,0.00%,varies
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Grande,190,4,2,0.1,15,95,31,0,30,7,10%,0%,25%,0.00%,varies
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Venti,230,5,2.5,0.2,20,125,38,0,38,9,15%,0%,30%,0.00%,varies
